Date,Open,High,Low,Close,Adj Close,Volume
2023-05-15,77900.085938,78746.828125,77222.695313,77646.062500,77646.062500,801782
2023-05-16,77900.085938,78831.500000,77307.367188,78408.125000,78408.125000,1064789
2023-05-17,78323.453125,78746.828125,78154.109375,78577.476563,78577.476563,942319
2023-05-18,78662.148438,81287.046875,78069.429688,80440.304688,80440.304688,2237758
2023-05-19,80016.937500,80355.632813,78408.125000,79762.914063,79762.914063,720291
2023-05-22,78746.828125,79508.890625,78069.429688,78831.500000,78831.500000,785719
2023-05-23,78746.828125,79254.867188,77984.757813,78577.476563,78577.476563,671752
2023-05-24,78577.476563,78577.476563,77815.414063,78408.125000,78408.125000,454921
2023-05-25,78408.125000,79593.562500,77392.039063,78916.171875,78916.171875,740014
2023-05-26,78916.171875,79170.195313,77900.085938,77900.085938,77900.085938,1212532
